,State,Assembly Constituency,Winner,Winner Party,Winner Votes,Runner-up,Runner-up Party,Runner-up Votes,Margin
207,Kerala,Kottayam,ADV K FRANCIS GEORGE,Kerala Congress,364631,THOMAS CHAZHIKADAN,Kerala Congress  (M),277365,87266
208,Kerala,Alappuzha,K. C VENUGOPAL,Indian National Congress,404560,A. M ARIFF,Communist Party of India  (Marxist),341047,63513
209,Kerala,Mavelikkara,KODIKUNNIL SURESH,Indian National Congress,369516,ADV ARUN KUMAR C A,Communist Party of India,358648,10868
210,Kerala,Pathanamthitta,ANTO ANTONY,Indian National Congress,367623,DR.T.M.THOMAS ISSAC,Communist Party of India  (Marxist),301504,66119
211,Kerala,Kollam,N K PREMACHANDRAN,Revolutionary Socialist Party,443628,M MUKESH,Communist Party of India  (Marxist),293326,150302
212,Kerala,Attingal,ADV ADOOR PRAKASH,Indian National Congress,328051,V JOY,Communist Party of India  (Marxist),327367,684
213,Kerala,Thiruvananthapuram,SHASHI THAROOR,Indian National Congress,358155,RAJEEV CHANDRASEKHAR,Bharatiya Janata Party,342078,16077
214,Madhya Pradesh,REWA,JANARDAN MISHRA,Bharatiya Janata Party,477459,NEELAM ABHAY MISHRA,Indian National Congress,284085,193374
215,Madhya Pradesh,SIDHI,DR. RAJESH MISHRA,Bharatiya Janata Party,583559,KAMLESHWAR INDRAJIT KUMAR,Indian National Congress,377143,206416
216,Madhya Pradesh,SHAHDOL,SMT. HIMADRI SINGH,Bharatiya Janata Party,711143,PHUNDE LAL SINGH MARKO,Indian National Congress,313803,397340
217,Madhya Pradesh,JABALPUR,ASHISH DUBEY,Bharatiya Janata Party,790133,DINESH YADAV,Indian National Congress,303459,486674
218,Madhya Pradesh,MANDLA,FAGGAN SINGH KULASTE,Bharatiya Janata Party,751375,OMKAR SINGH MARKAM,Indian National Congress,647529,103846
219,Madhya Pradesh,BALAGHAT,BHARTI PARDHI,Bharatiya Janata Party,712660,SAMRAT ASHOK SINGH SARASWAR,Indian National Congress,538148,174512
220,Madhya Pradesh,CHHINDWARA,BUNTY VIVEK SAHU,Bharatiya Janata Party,644738,NAKUL KAMALNATH,Indian National Congress,531120,113618
221,Madhya Pradesh,HOSHANGABAD,DARSHAN SINGH CHOUDHARY,Bharatiya Janata Party,812147,SANJAY SHARMA SANJU BHAIYA,Indian National Congress,380451,431696
222,Madhya Pradesh,VIDISHA,SHIVRAJ SINGH CHOUHAN,Bharatiya Janata Party,1116460,PRATAPBHANU SHARMA,Indian National Congress,295052,821408
223,Madhya Pradesh,BHOPAL,ALOK SHARMA,Bharatiya Janata Party,981109,ADVOCATE ARUN SHRIVASTAVA,Indian National Congress,479610,501499
224,Madhya Pradesh,RAJGARH,RODMAL NAGAR,Bharatiya Janata Party,758743,DIGVIJAYA SINGH,Indian National Congress,612654,146089
